36.7,1.0
34.5,1.0
39.5,1.0
42.6,1.0
46.8,1.0
49.5,1.0
5.31,1.0
57.5,1.0
61.2,1.0
66.1,1.0
69.6,1.0
73.7,1.0
77.0,1.0
83.1,1.0
85.5,1.0
90.7,1.0
93.0,1.0
98.4,1.0
101.0,1.0
4.22,1.0
8.58,1.0
11.6,1.0
3.61,1.0
19.4,1.0
23.6,1.0
28.5,1.0
29.5,1.0
34.7,1.0
37.0,1.0
41.9,1.0
45.7,1.0
50.0,1.0
4.37,1.0
57.3,1.0
61.5,1.0
66.8,1.0
68.8,1.0
73.3,1.0
76.7,1.0
80.9,1.0
85.5,1.0
90.0,1.0
93.7,1.0
98.6,1.0
4.11,1.0
106.0,1.0
5.35,1.0
10.9,1.0
16.1,1.0
19.6,1.0
4.1,1.0
27.3,1.0
31.7,1.0
38.7,1.0
40.0,1.0
44.4,1.0
47.5,1.0
45.1,1.0
49.3,1.0
53.3,1.0
56.8,1.0
4.1,1.0
3.42,1.0
4.31,1.0
223.0,1.0
20.9,1.0
27.4,1.0
30.9,1.0
37.4,1.0
39.7,1.0
44.6,1.0
48.1,1.0
53.4,1.0
58.2,1.0
62.5,1.0
67.1,1.0
72.8,1.0
91.1,1.0
95.7,1.0
100.0,1.0
105.0,1.0
111.0,1.0
116.0,1.0
120.0,1.0
124.0,1.0
130.0,1.0
134.0,1.0
140.0,1.0
143.0,1.0
148.0,1.0
3.83,1.0
86.4,1.0
90.1,1.0
94.6,1.0
3.48,1.0
3.64,1.0
105.0,1.0
4.99,1.0
11.2,1.0
16.1,1.0
19.8,1.0
24.5,1.0
26.8,1.0
31.3,1.0
34.4,1.0
41.8,1.0
42.7,1.0
46.8,1.0
50.0,1.0
56.5,1.0
59.1,1.0
63.9,1.0
68.1,1.0
73.0,1.0
76.2,1.0
82.2,1.0
86.3,1.0
90.4,1.0
93.7,1.0
104.0,1.0
6.29,1.0
107.0,1.0
4.7,1.0
11.7,1.0
5.19,1.0
19.5,1.0
23.9,1.0
27.4,1.0
32.9,1.0
35.9,1.0
42.6,1.0
